UserID,InstallationDate,InstallationTime,ChangeOutMeterNo,ChangeOutMeterkWh,InstalledMeterNo,InstalledEndpointSN,InstalledMeterkWh,ServiceLatitude,ServiceLongitude,ServiceLocation,ServiceTimeZone,TenantGroup
rompkoh,01/16/25,18:20,00aa08a6,,00aa08a6,11143334,,,,,,
rompkoh,01/16/25,18:20,00aa08a8,,00aa08a8,11143336,,,,,,
rompkoh,01/16/25,18:20,400a2a04,,400a2a04,1074407940,,,,,,
rompkoh,01/16/25,18:20,400a2a06,,400a2a06,1074407942,,,,,,
rompkoh,01/16/25,18:20,400a2c5b,,400a2c5b,1074408539,,,,,,
rompkoh,01/16/25,18:20,00aa01e7,,00aa01e7,11141607,,,,,,
rompkoh,01/16/25,18:20,00aa0214,,00aa0214,11141652,,,,,,
rompkoh,01/16/25,18:20,00aa01eb,,00aa01eb,11141611,,,,,,
rompkoh,01/16/25,18:20,00aa01e9,,00aa01e9,11141609,,,,,,
rompkoh,01/16/25,18:20,00aa01ed,,00aa01ed,11141613,,,,,,
rompkoh,01/16/25,18:20,00aa01df,,00aa01df,11141599,,,,,,
rompkoh,01/16/25,18:20,00aa0159,,00aa0159,11141465,,,,,,
rompkoh,01/16/25,18:20,00aa00e1,,00aa00e1,11141345,,,,,,
rompkoh,01/16/25,18:20,400a29da,,400a29da,1074407898,,,,,,
rompkoh,01/16/25,18:20,00aa013b,,00aa013b,11141435,,,,,,
rompkoh,01/16/25,18:20,00aa0240,,00aa0240,11141696,,,,,,
rompkoh,01/16/25,18:20,400a29d6,,400a29d6,1074407894,,,,,,
rompkoh,01/16/25,18:20,00aa01ca,,00aa01ca,11141578,,,,,,
rompkoh,01/16/25,18:20,00aa01c8,,00aa01c8,11141576,,,,,,
rompkoh,01/16/25,18:20,00aa01c4,,00aa01c4,11141572,,,,,,
rompkoh,01/16/25,18:20,00aa024c,,00aa024c,11141708,,,,,,
rompkoh,01/16/25,18:20,00aa024e,,00aa024e,11141710,,,,,,
rompkoh,01/16/25,18:20,00aa00d7,,00aa00d7,11141335,,,,,,
rompkoh,01/16/25,18:20,00aa00d9,,00aa00d9,11141337,,,,,,
rompkoh,01/16/25,18:20,400a2a30,,400a2a30,1074407984,,,,,,
rompkoh,01/16/25,18:20,00AA0200,,00AA0200,11141632,,,,,,
rompkoh,01/16/25,18:20,00AA01B3,,00AA01B3,11141555,,,,,,
